store_key,store_id,store_name,province_id,province_name
2374,2144,BHX_HCM_BTA - 123 Đường Số 11,1027,Thành phố Hồ Chí Minh
2375,15055,BHX_DLA_BHO - Cư Bao,1024,Tỉnh Đắk Lắk
2376,15099,BHX_BDU_DAN - Đông Hòa (Tân Hoà),1027,Thành phố Hồ Chí Minh
2377,14633,BHX_NAN_VIN - Kho Thịt Cá AJ Hưng Yên (HUB),1016,Tỉnh Nghệ An
2378,27985,BHX_HCM_TTA - 1613 Tỉnh Lộ 10,1027,Thành phố Hồ Chí Minh
2379,4845,BHX_HCM_Q07 - 865 Trần Xuân Soạn,1027,Thành phố Hồ Chí Minh
2380,13808,BHX_LAN_DHO - DC Xuyên Á (Đổi -Trả NCC),1028,Tỉnh Tây Ninh
2381,28574,BHX_NBI_HHU - Hải Hưng (Chợ Cầu Đôi),1014,Tỉnh Ninh Bình
2382,2229,BHX_HCM_TPH - 5A Vườn Lài,1027,Thành phố Hồ Chí Minh
2383,8846,BHX_DTH_THO - Tân Phước,1029,Tỉnh Đồng Tháp
2384,14599,BHX_HCM_CCH - Tân Thạnh Đông,1027,Thành phố Hồ Chí Minh
2385,9576,BHX_LDO_DLA - Xuân Trường,1025,Tỉnh Lâm Đồng
2386,10081,BHX_HCM_BCH - C5/25 Bình Chánh,1027,Thành phố Hồ Chí Minh
2387,6759,BHX_BPH_PLO - Khu phố 3 Long Thủy,1026,Tỉnh Đồng Nai
2388,14615,BHX_NAN_VIN - 122 Lý Tự Trọng,1016,Tỉnh Nghệ An
2389,27986,BHX_HCM_ADO - 110C Ngô Quyền,1027,Thành phố Hồ Chí Minh
2390,6408,BHX_DLA_EHL - 57 Trần Phú,1024,Tỉnh Đắk Lắk
2391,15076,BHX_THO_QXU - Kho Thịt Cá AJ Hưng Yên (HUB),1015,Tỉnh Thanh Hóa
2392,6591,BHX_TGI_CTH - Thân Bình (Chợ Thân Cửu Nghĩa),1029,Tỉnh Đồng Tháp
2393,14504,BHX_NAN_VIN - Vĩnh Hưng (Hưng Phúc),1016,Tỉnh Nghệ An
2394,28127,BHX_NBI_PDI - Lưu Phương,1014,Tỉnh Ninh Bình
2395,6165,BHX_DON_TNH - 659 Khu Phố Trần Cao Vân,1026,Tỉnh Đồng Nai
2396,6606,BHX_HCM_BCH - Kho Sơ Chế Thịt Trần Đại Nghĩa,1027,Thành phố Hồ Chí Minh
2397,6138,BHX_HCM_Q07 - 181 Lê Văn Lương,1027,Thành phố Hồ Chí Minh
2398,4904,BHX_TGI_CTH - Thửa 1562 Thạnh Phú,1029,Tỉnh Đồng Tháp
2399,29763,BHX_HYE_TBI - Bồ Xuyên,1013,Tỉnh Hưng Yên
2400,15000,BHX_THO_HLO - Hoa Lộc,1015,Tỉnh Thanh Hóa
2401,14449,BHX_QTR_QTR - 183-185 Trần Hưng Đạo,1018,Tỉnh Quảng Trị
2402,5806,BHX_AGI_TBI - Lô 17 Chi Lăng,1031,Tỉnh An Giang
2403,14350,BHX_DNA_NHS - 25-27 Mai Đăng Chơn,1020,Thành phố Đà Nẵng
2404,1935,BHX_HCM_BTA - 146 Đường số 5,1027,Thành phố Hồ Chí Minh
2405,15724,BHX_HTI_NHL - Hồng Lĩnh,1017,Tỉnh Hà Tĩnh
2406,4541,BHX_BTR_CTH - Thửa 4 Phước Hòa (Chợ Quới Sơn),1030,Tỉnh Vĩnh Long
2407,10181,BHX_TGI_CLA - Long Tiên,1029,Tỉnh Đồng Tháp
2408,6691,BHX_BLI_GRA - Khóm 2 Phường 1,1033,Tỉnh Cà Mau
2409,13652,BHX_LAN_CDU - Kho Lạnh Trần Đại Nghĩa (HUB),1028,Tỉnh Tây Ninh
2410,4925,BHX_BTR_TPH - Thửa 232 QL57 Tân Phong,1030,Tỉnh Vĩnh Long
2411,14552,BHX_BDU_TDM - Phú Tân,1027,Thành phố Hồ Chí Minh
2412,4290,BHX_TNI_TNI - Thửa 287-288-297 Phường 4 (Chợ Chiều),1028,Tỉnh Tây Ninh
2413,28898,BHX_TNI_HTH - Sóc Lào,1028,Tỉnh Tây Ninh
2414,10355,BHX_TGI_TPD - Tân Thới,1029,Tỉnh Đồng Tháp
2415,30073,BHX_HCM_HHU - 423 Sư Vạn Hạnh,1027,Thành phố Hồ Chí Minh
2416,15604,BHX_CTH_CRA - Nam Cần Thơ,1032,Thành phố Cần Thơ
2417,30137,BHX_HCM_CLO - 37B Tân Thành,1027,Thành phố Hồ Chí Minh
2418,28660,BHX_DTH_HNG - Hồng Ngự,1029,Tỉnh Đồng Tháp
2419,4869,BHX_BDU_BCA - Thửa 71 Tân Định,1027,Thành phố Hồ Chí Minh
2420,9208,BHX_HCM_BTH - 335 Nơ Trang Long,1027,Thành phố Hồ Chí Minh
2421,28925,BHX_THO_QTR - Bắc Sơn,1015,Tỉnh Thanh Hóa
2422,4363,BHX_VLO_BMI - 419A Quốc Lộ 54 (Chợ Đông Bình),1030,Tỉnh Vĩnh Long
2423,14787,BHX_NAN_DCH - Diễn Xuân,1016,Tỉnh Nghệ An
2424,4939,BHX_DON_XLO - 2097 Quốc Lộ 1A Xuân Tâm,1026,Tỉnh Đồng Nai
2425,28714,BHX_CTH_TTH - Trường Thành,1032,Thành phố Cần Thơ
2426,1559,BHX_HCM_TPH - 113 Tô Hiệu,1027,Thành phố Hồ Chí Minh
2427,4610,BHX_DON_BHO - 18/174 Trảng Dài,1026,Tỉnh Đồng Nai
2428,10438,BHX_CMA_CMA - Lý Thường Kiệt (Phường 6),1033,Tỉnh Cà Mau
2429,6578,BHX_BPH_BDA - Đắk Nhau,1026,Tỉnh Đồng Nai
